"","ensembl_gene_id","hgnc_symbol","chromosome_name","Most_Likely_Path","Max_PP"
"3072","ENSG00000272529","","3","Up-Down-Up","0.503"
"25300","ENSG00000112715","VEGFA","6","Up-Down-Up","0.503"
"48722","ENSG00000115255","REEP6","19","Up-Up-Down","0.503"
"23603","ENSG00000167487","KLHL26","19","Up-Up-Down","0.503"
"19476","ENSG00000165300","SLITRK5","13","Down-Down-Up","0.5029"
"52350","ENSG00000144182","LIPT1","2","Down-Down-Up","0.5028"
"21966","ENSG00000105953","OGDH","7","Down-Up-Down","0.5028"
"7815","ENSG00000171533","MAP6","11","Up-Down-Up","0.5028"
"13038","ENSG00000161654","LSM12","17","Down-Down-Up","0.5028"
"5724","ENSG00000155530","LRGUK","7","Down-Up-Down","0.5027"
"37936","ENSG00000177283","FZD8","10","Up-Down-Down","0.5027"
"53801","ENSG00000100241","SBF1","22","Up-Up-Down","0.5027"
"39193","ENSG00000154079","SDHAF4","6","Up-Down-Up","0.5026"
"28286","ENSG00000238105","GOLGA2P5","12","Down-Down-Up","0.5026"
"36220","ENSG00000259230","LINC02323","14","Up-Down-Up","0.5026"
"13413","ENSG00000161405","IKZF3","17","Up-Down-Up","0.5025"
"52497","ENSG00000135951","TSGA10","2","Up-Down-Up","0.5024"
"10569","ENSG00000175701","MTLN","2","Up-Up-Down","0.5024"
"39218","ENSG00000114853","ZBTB47","3","Up-Down-Down","0.5024"
"8498","ENSG00000268218","","16","Up-Down-Up","0.5024"
"51489","ENSG00000186026","ZNF284","19","Down-Down-Up","0.5024"
"12660","ENSG00000227372","TP73-AS1","1","Up-Down-Up","0.5023"
"27240","ENSG00000197417","SHPK","17","Down-Down-Up","0.5023"
"7890","ENSG00000184897","H1FX","3","Up-Up-Down","0.5022"
"53658","ENSG00000131188","PRR7","5","Up-Up-Down","0.5022"
"34786","ENSG00000137218","FRS3","6","Up-Down-Up","0.5022"
"41423","ENSG00000155034","FBXL18","7","Up-Up-Down","0.5021"
"54565","ENSG00000188039","NWD1","19","Up-Down-Up","0.5021"
"18550","ENSG00000182871","COL18A1","21","Up-Up-Down","0.5021"
"48902","ENSG00000163633","C4orf36","4","Up-Down-Down","0.502"
"799","ENSG00000021826","CPS1","2","Down-Up-Up","0.5019"
"37492","ENSG00000196230","TUBB","6","Down-Up-Down","0.5019"
"25353","ENSG00000182993","C12orf60","12","Up-Down-Up","0.5019"
"39228","ENSG00000167552","TUBA1A","12","Down-Up-Down","0.5019"
"31873","ENSG00000187824","TMEM220","17","Down-Up-Down","0.5019"
"14823","ENSG00000149634","SPATA25","20","Up-Down-Up","0.5018"
"44030","ENSG00000259943","","1","Up-Down-Up","0.5017"
"52175","ENSG00000122386","ZNF205","16","Up-Up-Down","0.5017"
"37855","ENSG00000112769","LAMA4","6","Down-Up-Down","0.5016"
"11913","ENSG00000088756","ARHGAP28","18","Up-Down-Up","0.5016"
"32047","ENSG00000130748","TMEM160","19","Up-Up-Down","0.5016"
"11729","ENSG00000261786","","3","Down-Down-Up","0.5015"
"28872","ENSG00000248367","","5","Up-Down-Up","0.5015"
"11353","ENSG00000173898","SPTBN2","11","Up-Down-Down","0.5015"
"39578","ENSG00000215417","MIR17HG","13","Up-Down-Up","0.5015"
"33847","ENSG00000102981","PARD6A","16","Up-Down-Up","0.5015"
"47492","ENSG00000234420","ZNF37BP","10","Up-Down-Up","0.5014"
"2873","ENSG00000150995","ITPR1","3","Down-Up-Down","0.5013"
"43615","ENSG00000123870","ZNF137P","19","Down-Up-Up","0.5013"
"52184","ENSG00000142765","SYTL1","1","Up-Down-Up","0.5012"
"53476","ENSG00000228818","","1","Down-Up-Down","0.5012"
"11247","ENSG00000178343","SHISA3","4","Up-Up-Down","0.5011"
"25111","ENSG00000021762","OSBPL5","11","Up-Up-Down","0.5011"
"42484","ENSG00000257681","","12","Up-Down-Up","0.5011"
"27287","ENSG00000261505","","16","Down-Down-Up","0.5011"
"23234","ENSG00000104983","CCDC61","19","Up-Up-Down","0.5011"
"22182","ENSG00000175768","TOMM5","9","Up-Down-Down","0.501"
"35315","ENSG00000219102","HNRNPA3P12","1","Up-Down-Up","0.5009"
"33458","ENSG00000114541","FRMD4B","3","Up-Down-Up","0.5009"
"8073","ENSG00000160972","PPP1R16A","8","Up-Up-Down","0.5008"
"22005","ENSG00000147912","FBXO10","9","Down-Up-Up","0.5008"
"31107","ENSG00000213445","SIPA1","11","Up-Up-Down","0.5008"
"42041","ENSG00000178401","DNAJC22","12","Up-Down-Up","0.5008"
"43619","ENSG00000268970","","19","Up-Down-Up","0.5008"
"4599","ENSG00000144026","ZNF514","2","Up-Down-Up","0.5007"
"43534","ENSG00000267248","","17","Down-Up-Down","0.5007"
"1738","ENSG00000104883","PEX11G","19","Down-Up-Down","0.5007"
"50742","ENSG00000104973","MED25","19","Up-Up-Down","0.5007"
"2789","ENSG00000188242","","5","Up-Down-Down","0.5006"
"33134","ENSG00000124766","SOX4","6","Up-Down-Up","0.5006"
"4920","ENSG00000164898","FMC1","7","Down-Up-Down","0.5006"
"48339","ENSG00000044574","HSPA5","9","Down-Up-Down","0.5006"
"13647","ENSG00000167994","RAB3IL1","11","Up-Up-Down","0.5006"
"39933","ENSG00000204177","BMS1P1","10","Up-Down-Up","0.5006"
"27403","ENSG00000111490","TBC1D30","12","Down-Down-Down","0.5006"
"52326","ENSG00000242193","CRYZL2P","1","Up-Down-Up","0.5005"
"16911","ENSG00000247627","MTND4P12","5","Down-Down-Up","0.5005"
"23048","ENSG00000203722","RAET1G","6","Down-Up-Down","0.5005"
"41603","ENSG00000138316","ADAMTS14","10","Up-Down-Up","0.5005"
"26427","ENSG00000165886","UBTD1","10","Up-Up-Down","0.5005"
"45485","ENSG00000242715","CCDC169","13","Up-Down-Up","0.5005"
"974","ENSG00000165804","ZNF219","14","Up-Up-Down","0.5005"
"NA.14",NA,NA,NA,"Up-Down-Up","0.5005"
"49528","ENSG00000167600","CYP2S1","19","Down-Up-Down","0.5005"
"49408","ENSG00000238279","","1","Down-Down-Up","0.5004"
"49398","ENSG00000118257","NRP2","2","Down-Up-Down","0.5004"
"28007","ENSG00000180914","OXTR","3","Up-Down-Down","0.5004"
"40721","ENSG00000118523","CTGF","6","Down-Up-Down","0.5004"
"28717","ENSG00000173264","GPR137","11","Up-Up-Down","0.5004"
"4286","ENSG00000159314","ARHGAP27","17","Up-Up-Down","0.5004"
"18446","ENSG00000127220","ABHD8","19","Up-Up-Down","0.5004"
"33545","ENSG00000138449","SLC40A1","2","Down-Up-Down","0.5003"
"36513","ENSG00000144559","TAMM41","3","Down-Down-Up","0.5003"
"47841","ENSG00000039139","DNAH5","5","Up-Down-Down","0.5003"
"44072","ENSG00000146540","C7orf50","7","Up-Up-Down","0.5003"
"50784","ENSG00000164855","TMEM184A","7","Up-Down-Down","0.5003"
"39235","ENSG00000172915","NBEA","13","Down-Up-Down","0.5003"
"42813","ENSG00000090447","TFAP4","16","Up-Down-Down","0.5003"
"15832","ENSG00000227036","LINC00511","17","Up-Down-Up","0.5003"
"43769","ENSG00000171443","ZNF524","19","Up-Down-Down","0.5003"
"52213","ENSG00000188807","TMEM201","1","Up-Down-Down","0.5002"
"29602","ENSG00000143127","ITGA10","1","Down-Up-Up","0.5002"
"NA.15",NA,NA,NA,"Down-Down-Up","0.5002"
"24985","ENSG00000152082","MZT2B","2","Up-Up-Down","0.5002"
"3482","ENSG00000138380","CARF","2","Up-Down-Up","0.5002"
"44471","ENSG00000180902","D2HGDH","2","Up-Up-Down","0.5002"
"11728","ENSG00000280435","","3","Down-Down-Up","0.5002"
"44070","ENSG00000109265","KIAA1211","4","Up-Up-Down","0.5002"
"19279","ENSG00000138709","LARP1B","4","Down-Up-Down","0.5002"
"45509","ENSG00000164414","SLC35A1","6","Up-Down-Up","0.5002"
"50048","ENSG00000164880","INTS1","7","Up-Up-Down","0.5002"
"27478","ENSG00000167011","NAT16","7","Up-Down-Down","0.5002"
"5416","ENSG00000101986","ABCD1","X","Up-Up-Down","0.5002"
"23239","ENSG00000111110","PPM1H","12","Up-Down-Down","0.5002"
"47889","ENSG00000198855","FICD","12","Down-Up-Down","0.5002"
"26908","ENSG00000165959","CLMN","14","Up-Down-Up","0.5002"
"33747","ENSG00000184916","JAG2","14","Up-Up-Down","0.5002"
"20775","ENSG00000276107","","15","Down-Down-Down","0.5002"
"11572","ENSG00000161653","NAGS","17","Up-Down-Down","0.5002"
"43173","ENSG00000182141","ZNF708","19","Up-Down-Up","0.5002"
"29482","ENSG00000168661","ZNF30","19","Up-Down-Up","0.5002"
"40096","ENSG00000105227","PRX","19","Up-Up-Down","0.5002"
"37797","ENSG00000079432","CIC","19","Up-Up-Down","0.5002"
"21111","ENSG00000126464","PRR12","19","Up-Down-Down","0.5002"
"43766","ENSG00000218891","ZNF579","19","Up-Up-Down","0.5002"
"38486","ENSG00000198089","SFI1","22","Up-Down-Up","0.5002"
"33339","ENSG00000171863","RPS7","2","Up-Down-Up","0.5001"
"30880","ENSG00000171227","TMEM37","2","Down-Up-Down","0.5001"
"5673","ENSG00000131389","SLC6A6","3","Down-Up-Down","0.5001"
"36054","ENSG00000232354","VIPR1-AS1","3","Up-Down-Up","0.5001"
"52027","ENSG00000010318","PHF7","3","Down-Up-Down","0.5001"
"5680","ENSG00000181789","COPG1","3","Down-Up-Down","0.5001"
"33995","ENSG00000163683","SMIM14","4","Down-Up-Down","0.5001"
"16151","ENSG00000153404","PLEKHG4B","5","Down-Up-Down","0.5001"
"39736","ENSG00000230551","","5","Up-Down-Up","0.5001"
"41343","ENSG00000279312","","6","Up-Down-Up","0.5001"
"25035","ENSG00000017483","SLC38A5","X","Up-Up-Down","0.5001"
"13619","ENSG00000137038","DMAC1","9","Up-Down-Down","0.5001"
"34933","ENSG00000170955","CAVIN3","11","Up-Up-Down","0.5001"
"50422","ENSG00000139190","VAMP1","12","Down-Down-Up","0.5001"
"30200","ENSG00000166813","KIF7","15","Up-Up-Down","0.5001"
"508","ENSG00000168904","LRRC28","15","Down-Up-Up","0.5001"
"49591","ENSG00000070423","RNF126","19","Up-Up-Down","0.5001"
"18250","ENSG00000105656","ELL","19","Up-Up-Down","0.5001"
"41542","ENSG00000105717","PBX4","19","Up-Down-Up","0.5001"
"44836","ENSG00000256771","ZNF253","19","Up-Down-Up","0.5001"
"52172","ENSG00000166289","PLEKHF1","19","Up-Up-Down","0.5001"
"34099","ENSG00000269069","","19","Down-Up-Down","0.5001"
"37134","ENSG00000105722","ERF","19","Up-Up-Down","0.5001"
"50898","ENSG00000196724","ZNF418","19","Up-Down-Up","0.5001"
"3346","ENSG00000161179","YDJC","22","Up-Up-Down","0.5001"
"36257","ENSG00000225630","MTND2P28","1","Down-Down-Up","0.5"
"36253","ENSG00000248527","MTATP6P1","1","Down-Down-Up","0.5"
"11110","ENSG00000224051","CPTP","1","Up-Up-Down","0.5"
"19053","ENSG00000197785","ATAD3A","1","Up-Down-Down","0.5"
"54282","ENSG00000116809","ZBTB17","1","Up-Up-Down","0.5"
"45412","ENSG00000121903","ZSCAN20","1","Up-Down-Up","0.5"
"34890","ENSG00000116871","MAP7D1","1","Up-Up-Down","0.5"
"49093","ENSG00000185090","MANEAL","1","Up-Down-Down","0.5"
"38893","ENSG00000168389","MFSD2A","1","Down-Down-Down","0.5"
"36684","ENSG00000177606","JUN","1","Up-Down-Down","0.5"
"34459","ENSG00000122483","CCDC18","1","Down-Up-Down","0.5"
"35638","ENSG00000163393","SLC22A15","1","Down-Down-Up","0.5"
"46348","ENSG00000160789","LMNA","1","Up-Up-Down","0.5"
"52850","ENSG00000162729","IGSF8","1","Up-Up-Down","0.5"
"36129","ENSG00000158715","SLC45A3","1","Up-Up-Down","0.5"
"40749","ENSG00000054392","HHAT","1","Down-Up-Down","0.5"
